Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
AT,Steiermark,AT60137,47.0591699994646:15.016667,O3,EEA Austria,µg/m³,69.606,2021-12-31T00:00:00+01:00,Austria
AU,South East Queensland,Wynnum,-27.4296:153.158,PM10,Australia - Queensland,µg/m³,7.0,2021-12-09T01:00:00+01:00,Australia
AU,Gladstone,Boyne Island,-23.9408:151.351,PM10,Australia - Queensland,µg/m³,10.6,2021-12-09T01:00:00+01:00,Australia
AU,South West Queensland,Upper Humbug,-27.0908:150.4,PM2.5,Australia - Queensland,µg/m³,-1111.0,2021-11-30T14:00:00+01:00,Australia
AU,Adelaide,Le Fevre 1,-34.8386688:138.4963475,PM10,Australia - South Australia,µg/m³,12.0,2021-04-05T23:30:00+02:00,Australia
AU,Whyalla,Whyalla Walls St,-33.0361164:137.5860979,PM10,Australia - South Australia,µg/m³,14.5,2021-04-05T23:30:00+02:00,Australia
TW,屏東縣,Hengchun,21.958069:120.788928,O3,Taiwan,ppm,0.0239,2021-05-17T07:00:00+02:00,Taiwan: China
TW,南投縣,Zhushan,23.756389:120.677306,NO2,Taiwan,ppm,0.0028,2021-05-17T07:00:00+02:00,Taiwan: China
TW,高雄市,Nanzi,22.733667:120.328289,PM10,Taiwan,µg/m³,24.0,2021-05-17T07:00:00+02:00,Taiwan: China
TW,高雄市,Daliao,22.564136:120.425311,SO2,Taiwan,ppm,0.0012,2021-05-17T06:00:00+02:00,Taiwan: China
TW,金門縣,Kinmen,24.432133:118.312256,SO2,Taiwan,ppm,0.0031,2021-05-17T07:00:00+02:00,Taiwan: China
TW,臺中市,Shalu,24.225628:120.568794,O3,Taiwan,ppm,0.0328,2021-05-17T07:00:00+02:00,Taiwan: China
TW,高雄市,Qiaotou,22.757506:120.305689,PM2.5,Taiwan,µg/m³,8.0,2021-05-17T06:00:00+02:00,Taiwan: China
TW,高雄市,Qianjin,22.632567:120.288086,NO2,Taiwan,ppm,0.0034,2021-05-17T07:00:00+02:00,Taiwan: China
TW,桃園市,Dayuan,25.060344:121.201811,PM2.5,Taiwan,µg/m³,12.0,2021-05-17T07:00:00+02:00,Taiwan: China
TW,臺北市,Songshan,25.05:121.578611,CO,Taiwan,ppm,0.27,2021-05-17T07:00:00+02:00,Taiwan: China
TW,南投縣,Puli,23.968842:120.967903,CO,Taiwan,ppm,0.13,2021-05-17T07:00:00+02:00,Taiwan: China
TW,雲林縣,Lunbei,23.757547:120.348742,SO2,Taiwan,ppm,0.0014,2021-05-17T07:00:00+02:00,Taiwan: China
TW,嘉義縣,Xingang,23.554839:120.345531,O3,Taiwan,ppm,0.0311,2021-05-17T04:00:00+02:00,Taiwan: China
TW,屏東縣,Chaozhou,22.523108:120.561175,PM10,Taiwan,µg/m³,23.0,2021-05-17T07:00:00+02:00,Taiwan: China
TW,嘉義縣,Puzi,23.465308:120.24735,CO,Taiwan,ppm,0.19,2021-05-17T07:00:00+02:00,Taiwan: China
TW,臺北市,Zhongshan,25.062361:121.526528,SO2,Taiwan,ppm,0.0027,2021-05-17T07:00:00+02:00,Taiwan: China
TW,高雄市,Fuxing,22.608711:120.312017,SO2,Taiwan,ppm,0.0013,2021-05-17T07:00:00+02:00,Taiwan: China
TW,高雄市,Fuxing,22.608711:120.312017,O3,Taiwan,ppm,0.0198,2021-05-17T05:00:00+02:00,Taiwan: China
TW,臺北市,Shilin,25.105917:121.5145,SO2,Taiwan,ppm,0.0037,2021-05-17T07:00:00+02:00,Taiwan: China
TW,彰化縣,Erlin,23.925175:120.409653,SO2,Taiwan,ppm,0.0005,2021-05-17T06:00:00+02:00,Taiwan: China
US,Chicago-Naperville-Joliet,Gary-IITRI,41.606563:-87.305015,BC,AirNow,µg/m³,0.18,2021-01-02T02:00:00+01:00,United States
US,Cleveland-Elyria-Mentor,Eastlake,41.673006:-81.422455,SO2,AirNow,ppm,0.0,2021-12-29T14:00:00+01:00,United States
US,Stockton,Stockton - Universit,37.961578:-121.281414,PM10,AirNow,µg/m³,31.0,2021-11-15T17:00:00+01:00,United States
US,Stockton,Stockton - Hazelton,37.95075:-121.26897,PM2.5,AirNow,µg/m³,10.0,2021-11-05T18:00:00+01:00,United States
US,CA8 - ARB,MMCA82003,39.019318:-122.915211,PM2.5,AirNow,µg/m³,11.0,2021-09-07T15:00:00+02:00,United States
US,FS1 - Forest Service,Calveras Road,37.553055:-121.843888,PM2.5,AirNow,µg/m³,1.0,2021-07-07T04:00:00+02:00,United States
US,Santa Barbara-Santa Maria,Santa Maria - Broadw,34.942872:-120.435611,PM2.5,AirNow,µg/m³,0.0,2021-01-28T10:00:00+01:00,United States
FR,Haute-Garonne,FR12021,43.6236195829158:1.43860701175321,O3,EEA France,µg/m³,60.4,2021-05-17T05:00:00+02:00,France
FR,Seine-et-Marne,FR04328,48.3547092558406:2.64529596660528,SO2,EEA France,µg/m³,0.7,2021-01-04T12:00:00+01:00,France
FR,Hauts-de-Seine,FR04017,48.8813919489129:2.27805569530438,SO2,EEA France,µg/m³,2.9,2021-01-04T14:00:00+01:00,France
FR,Loire-Atlantique,FR23140,47.2043914135194:-1.552827800129,NO2,EEA France,µg/m³,1.7,2021-12-28T03:00:00+01:00,France
GB,Reigate and Banstead,Reigate and Banstead - Earlswood Depot,51.221102:-0.17288661,PM10,London Air Quality Network,µg/m³,11.9,2021-05-18T07:00:00+02:00,United Kingdom
MX,JALISCO,Loma Dorada,20.629167:-103.263889,SO2,AirNow,ppm,0.003,2021-11-01T05:00:00+01:00,Mexico
MX,JALISCO,Las Águilas,20.630833:-103.416667,O3,AirNow,ppm,0.001,2021-11-19T04:00:00+01:00,Mexico
MX,JALISCO,Oblatos,20.700278:-103.296389,NO2,AirNow,ppm,0.008,2021-11-09T23:00:00+01:00,Mexico
MX,Guadalajara,Oblatos,20.700538611111:-103.29661666667,NO2,Sinaica Mexico,ppm,0.006289,2021-09-23T21:00:00+02:00,Mexico
MX,Coyoacán,UAM Xochimilco,19.304444444444:-99.103888888889,O3,Sinaica Mexico,ppm,0.045,2021-09-23T21:00:00+02:00,Mexico
MX,Nezahualcóyotl,FES Aragón,19.473691944444:-99.046175833333,CO,Sinaica Mexico,ppm,0.3,2021-09-23T19:00:00+02:00,Mexico
MX,Nezahualcóyotl,FES Aragón,19.473691944444:-99.046175833333,SO2,Sinaica Mexico,ppm,0.001,2021-09-23T19:00:00+02:00,Mexico
MX,Tlajomulco de Zúñiga,Santa Fe,20.529149444444:-103.37717944444,O3,Sinaica Mexico,ppm,0.030574,2021-09-23T20:00:00+02:00,Mexico
MX,Tlajomulco de Zúñiga,Santa Fe,20.529149444444:-103.37717944444,CO,Sinaica Mexico,ppm,0.72966,2021-04-16T13:00:00+02:00,Mexico
MX,Atitalaquia,Centro de Salud,20.06:-99.221944444444,O3,Sinaica Mexico,ppm,0.0366459444444444,2021-09-23T20:00:00+02:00,Mexico
MX,Tlalnepantla de Baz,La Presa,19.535:-99.117777777778,CO,Sinaica Mexico,ppm,0.4,2021-09-23T20:00:00+02:00,Mexico
MX,Almoloya de Juárez,Almoloya de Juárez,19.370438888889:-99.75275,SO2,Sinaica Mexico,ppm,0.002,2021-09-23T20:00:00+02:00,Mexico
MX,San Juan del Río,San Juan del Río,20.388888888889:-99.972147222222,PM2.5,Sinaica Mexico,µg/m³,3.38,2021-09-23T20:00:00+02:00,Mexico
MX,Monclova,Jurisdicción Sanitaria,26.908194444444:-101.427,O3,Sinaica Mexico,ppm,0.050255,2021-09-23T19:00:00+02:00,Mexico
MX,Gustavo A. Madero,Gustavo A. Madero,19.482777777778:-99.094722222222,NO2,Sinaica Mexico,ppm,0.014,2021-09-23T19:00:00+02:00,Mexico
MX,Puebla,Universidad Tecnológica de Puebla,19.071888888889:-98.151722222222,NO2,Sinaica Mexico,ppm,0.00803527777777778,2021-09-23T19:00:00+02:00,Mexico
MX,Puebla,Universidad Tecnológica de Puebla,19.071888888889:-98.151722222222,PM2.5,Sinaica Mexico,µg/m³,9.59463155777778,2021-09-23T19:00:00+02:00,Mexico
MX,Juárez,Juárez,25.646111111111:-100.09555555556,CO,Sinaica Mexico,ppm,2.06,2021-09-23T18:00:00+02:00,Mexico
MX,Juárez,Juárez,25.646111111111:-100.09555555556,NO2,Sinaica Mexico,ppm,0.0232,2021-09-23T18:00:00+02:00,Mexico
MX,Pachuca de Soto,Jardín del Maestro,20.120555555556:-98.74,CO,Sinaica Mexico,ppm,0.195961111111111,2021-09-23T18:00:00+02:00,Mexico
MX,Oaxaca de Juárez,Centro de Educación Artística,16.699340277778:-96.866455,PM2.5,Sinaica Mexico,µg/m³,5.0,2021-09-23T18:00:00+02:00,Mexico
MX,Cadereyta Jiménez,Cadereyta,25.600555555556:-99.994166666667,PM10,Sinaica Mexico,µg/m³,51.0,2021-09-23T18:00:00+02:00,Mexico
MX,Naucalpan de Juárez,FES Acatlán,19.4825:-99.243611111111,O3,Sinaica Mexico,ppm,0.013,2021-09-23T14:00:00+02:00,Mexico
MX,Tepeji del Río de Ocampo,Primaria Melchor Ocampo,20.505555555556:-99.580277777778,PM10,Sinaica Mexico,µg/m³,17.36,2021-09-23T12:00:00+02:00,Mexico
MX,Tepeji del Río de Ocampo,Primaria Melchor Ocampo,20.505555555556:-99.580277777778,SO2,Sinaica Mexico,ppm,0.011232965,2021-09-09T17:00:00+02:00,Mexico
MX,Irapuato,Bomberos,21.118055555556:-101.60216666667,CO,Sinaica Mexico,ppm,0.69,2021-09-23T04:00:00+02:00,Mexico
MX,Irapuato,Teódula,20.658055555556:-101.34888888889,PM2.5,Sinaica Mexico,µg/m³,20.867233,2021-04-16T12:00:00+02:00,Mexico
MX,Irapuato,Teódula,20.658055555556:-101.34888888889,SO2,Sinaica Mexico,ppm,0.002627292,2021-04-16T12:00:00+02:00,Mexico
MX,Zacatecas,Explanada del Congreso,22.774797222222:-102.57445833333,NO2,Sinaica Mexico,ppm,0.0050012,2021-04-16T10:00:00+02:00,Mexico
MX,Col. Indeco: Cd. Industrial,Instituto Tecnológico de Villahermosa,18.022933333333:-92.903219444444,PM10,Sinaica Mexico,µg/m³,45.682125,2021-04-16T04:00:00+02:00,Mexico
PL,Brzeg,Brzeg: ul. Poprzeczna,50.849509:17.462579,BC,GIOS,µg/m³,0.08154,2021-12-31T23:00:00+01:00,Poland
PL,Kołobrzeg,Kołobrzeg_KasprowiczaMOB,54.182603:15.579936,NO2,GIOS,µg/m³,5.98722,2021-12-21T09:00:00+01:00,Poland
TH,Bangkok,Nonsi Witthaya School,13.70806667:100.5473333,O3,Air4Thai,ppm,0.005,2021-11-24T02:00:00+01:00,Thailand
TH,Rayong,Khai Surasinghanat,12.648576:101.32245,CO,Air4Thai,ppm,0.43,2021-09-30T11:00:00+02:00,Thailand
IN,Rupnagar,Ratanpura: Rupnagar - Ambuja Cements,30.0325454:76.5623046,PM2.5,caaqm,µg/m³,83.38,2021-11-23T12:45:00+01:00,India
IT,Foggia,IT2141A,41.63083:15.38667,NO2,EEA Italy,µg/m³,9.93,2021-12-05T00:00:00+01:00,Italy
LV,Liepaja,LV0012A,56.5231749995064:21.004694,CO,EEA Latvia,µg/m³,0.3,2021-01-06T11:00:00+01:00,Latvia
HU,Veszprém,HU0037A,47.1052780194647:17.55666542,CO,EEA Hungary,µg/m³,831.3303,2021-01-22T11:00:00+01:00,Hungary
CN,金昌市,天庆家园,38.5167:102.1692,NO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
CN,阿坝藏族羌族自治州,州农科所(对照点),31.914:102.1879,PM2.5,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
CN,驻马店市,市一纸厂,32.9656:114.0189,O3,ChinaAQIData,µg/m³,121.0,2021-08-09T13:00:00+02:00,China
CN,梧州市,市十一中,23.4794:111.3239,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,驻马店市,市彩印厂,33.015:114.0114,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,宝鸡市,庙沟村(对照点),34.3063:107.185,CO,ChinaAQIData,µg/m³,400.0,2021-08-09T13:00:00+02:00,China
CN,宝鸡市,庙沟村(对照点),34.3063:107.185,SO2,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
